company,H1,H2,H3,H4,H5,2023,2022,2021,2020,2019
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,0.04,0.04,0.04,0.04,0.04
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.11,0.12,0.12,0.12,0.13
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,12.36,6.85,2.4,2.61,3.85
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,5.35,1.26,0.53,1.28,2.32
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,7.01,5.59,1.87,1.33,1.53
Olympiastadion Berlin GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Olympiastadion Berlin GmbH,GuV-Daten,Gesamterträge,,,,28.35,19.31,11.52,13.7,18.21
Olympiastadion Berlin GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,17.72,14.61,7.67,11.84,15.64
Olympiastadion Berlin GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,10.63,4.7,3.85,1.85,2.57
Olympiastadion Berlin GmbH,GuV-Daten,Gesamtaufwendungen,,,,25.84,16.61,12.54,12.18,15.81
Olympiastadion Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,1.82,1.62,1.56,1.59,1.53
Olympiastadion Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.12,0.86,3.14,0.1,0.09
Olympiastadion Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,,,,
Olympiastadion Berlin GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,23.91,14.13,7.84,10.48,14.18
Olympiastadion Berlin GmbH,GuV-Daten,EBITDA,,,,3.81,4.65,1.93,2.33,3.65
Olympiastadion Berlin GmbH,GuV-Daten,EBT,,,,3.7,3.8,-1.21,2.24,3.57
Olympiastadion Berlin GmbH,GuV-Daten,Jahresergebnis,,,,2.51,2.73,-1.02,1.52,2.4
Olympiastadion Berlin GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Olympiastadion Berlin GmbH,Beschäftigte,Beschäftigte,,,,25.0,25.0,23.0,24.0,23.0
Olympiastadion Berlin GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,1.0,1.0,2.0,3.0,2.0
Olympiastadion Berlin GmbH,Allgemeine Daten,Zuführungen,,,,,,,,
Olympiastadion Berlin GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
Olympiastadion Berlin GmbH,Allgemeine Daten,Investitionen,,,,0.13,0.02,0.06,0.18,0.07
Olympiastadion Berlin GmbH,Allgemeine Daten,Investitionsquote (%),,,,30.0,5.2,12.9,35.0,15.0
Olympiastadion Berlin GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,708.83,584.45,333.5,493.45,679.91
Olympiastadion Berlin GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,53.0,62.4,77.9,78.4,67.8
Olympiastadion Berlin GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,26.3,32.7,-13.7,22.6,42.7
Olympiastadion Berlin GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,20.9,26.0,-15.8,18.9,22.8
Olympiastadion Berlin GmbH,Allgemeine Daten,Zinslastquote (%),,,,,,,,
Olympiastadion Berlin GmbH,Allgemeine Daten,Personalkostenquote (%),,,,10.3,11.1,20.3,13.4,9.8
Olympiastadion Berlin GmbH,Spezifische Daten,Veranstaltungen (Tage),,,,165.0,123.0,20.0,163.0,228.0
Olympiastadion Berlin GmbH,Spezifische Daten,Veranstaltungen (Tage),davon Hertha BSC (Tage),,,17.0,19.0,17.0,18.0,18.0
Olympiastadion Berlin GmbH,Spezifische Daten,Zuschauer/innen (Tsd.),,,,1503.0,807.0,4.0,1142.0,1899.0
Olympiastadion Berlin GmbH,Spezifische Daten,Zuschauer/innen (Tsd.),davon Hertha BSC (Tsd.),,,911.0,477.0,0.0,703.0,912.0
Olympiastadion Berlin GmbH,Spezifische Daten,Stadionbesichtigungen (Tsd.),,,,153.0,99.0,29.0,124.0,199.0
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,,,,73.56,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,3.95,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,3.51,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,68.22,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,45.35,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,24.68,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,28.19,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,18.51,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,9.68,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamterträge,,,,140.07,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,137.08,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,2.99,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamtaufwendungen,,,,129.41,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,81.71,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,1.43,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.0,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,46.27,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,EBITDA,,,,16.76,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,EBT,,,,15.55,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Jahresergebnis,,,,10.66,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Beschäftigte,Beschäftigte,,,,972.0,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Zuführungen,,,,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Investitionen,,,,1.32,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Investitionsquote (%),,,,33.3,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,141.03,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,61.7,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,34.3,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,11.3,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Zinslastquote (%),,,,0.0,,,,
Partner für Deutschland - Berater der öffentlichen Hand GmbH,Allgemeine Daten,Personalkostenquote (%),,,,59.6,,,,
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,,,,25.13,25.58,19.96,12.35,11.17
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,0.77,0.42,0.33,0.35,0.36
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,0.51,0.38,0.27,0.33,0.34
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,23.88,24.61,19.16,11.48,10.25
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,16.2,16.9,12.61,6.31,3.69
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,16.88,12.58,3.66,3.66,4.51
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.77,0.42,0.33,0.35,0.34
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,7.63,7.48,6.62,5.68,6.11
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,5.04,5.24,5.13,4.72,4.66
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,2.59,2.24,1.49,0.96,1.45
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamterträge,,,,53.65,54.6,46.44,41.96,44.89
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,6.27,5.8,2.51,1.84,6.69
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,47.39,48.8,43.94,40.12,38.21
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamtaufwendungen,,,,54.35,50.31,40.14,39.34,45.74
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,36.75,34.32,31.36,31.04,31.94
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.33,0.36,0.16,0.11,0.11
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.07,0.07,0.08,0.09,0.12
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,17.21,15.56,8.54,8.09,13.57
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,EBITDA,,,,-0.38,4.68,6.5,2.78,-0.68
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,EBT,,,,-0.7,4.29,6.3,2.62,-0.85
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Jahresergebnis,,,,-0.7,4.29,6.3,2.62,-0.85
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Beschäftigte,Beschäftigte,,,,354.0,345.0,333.0,331.0,337.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Zuführungen,,,,46.54,47.36,42.1,38.12,37.76
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,9.23,9.23,8.3,7.67,7.62
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Investitionen,,,,0.67,0.31,0.1,0.1,0.07
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Investitionsquote (%),,,,87.0,73.1,30.1,27.1,18.8
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,17.71,16.82,7.53,5.55,19.83
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,64.5,66.1,63.2,51.1,33.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,-4.3,25.4,50.0,41.5,-22.9
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,-11.1,74.0,251.5,142.4,-12.7
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Zinslastquote (%),,,,1.1,1.2,3.4,5.1,1.8
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Allgemeine Daten,Personalkostenquote (%),,,,586.2,591.3,1251.6,1688.4,477.7
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,Konzerte (Anz.),,,,295.0,304.0,265.0,319.0,257.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,davon Eigenveranstaltungen in Berlin (Anz.),,,,148.0,152.0,66.0,54.0,144.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,davon Gastspiele außerhalb Berlins (Anz.),,,,51.0,57.0,23.0,14.0,66.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,davon Gastspiele außerhalb Berlins (Anz.),davon Sonderkonzerte (Anz.),,,96.0,95.0,176.0,245.0,32.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,Co-Produktionen (Anz.),,,,14.0,19.0,15.0,22.0,30.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,Besucher/innen Eigenveranstaltungen (Tsd.),,,,140.0,103.0,36.0,35.0,140.0
Rundfunk-Orchester und -Chöre (gemeinnützige) GmbH,Spezifische Daten,Auslastung der Eigenveranstaltungen (%),,,,77.0,71.0,71.0,85.0,84.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,,,,2.15,2.19,2.34,2.81,1.88
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,0.11,0.12,0.15,0.17,0.21
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,0.07,0.07,0.08,0.08,0.1
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,1.99,2.0,2.13,2.58,1.61
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,1.52,1.54,1.77,2.2,1.29
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,0.63,0.65,0.57,0.62,0.59
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,0.42,0.43,0.38,0.35,0.29
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,0.21,0.22,0.19,0.27,0.3
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamterträge,,,,4.08,3.52,3.41,4.5,3.09
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,3.99,3.49,3.41,4.49,3.05
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,0.08,0.03,0.01,0.01,0.04
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamtaufwendungen,,,,4.06,3.73,3.81,3.57,3.47
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,3.16,2.83,2.91,2.64,2.51
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.05,0.06,0.07,0.1,0.11
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,0.85,0.84,0.83,0.82,0.85
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,EBITDA,,,,0.04,-0.15,-0.33,1.03,-0.27
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,EBT,,,,0.02,-0.2,-0.39,0.94,-0.38
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Jahresergebnis,,,,0.02,-0.2,-0.4,0.93,-0.38
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,GuV-Daten,Gewinnabführung,,,,0.01,0.01,0.01,0.01,0.01
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Beschäftigte,Beschäftigte,,,,38.0,37.0,38.0,36.0,35.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,1.0,1.0,1.0,2.0,1.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Zuführungen,,,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Investitionen,,,,0.04,0.03,0.05,0.06,0.08
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Investitionsquote (%),,,,32.8,24.7,34.5,34.4,39.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,105.13,94.3,89.18,123.4,86.88
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Eigenkapitalquote (%),,,,70.8,70.3,75.8,78.1,68.6
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,1.2,-13.2,-22.3,42.6,-29.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Umsatzrentabilität (%),,,,0.4,-5.8,-11.6,20.9,-12.3
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Zinslastquote (%),,,,0.0,0.0,0.0,0.0,0.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Allgemeine Daten,Personalkostenquote (%),,,,79.2,81.0,85.5,58.9,82.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,Entsorgungsnachweise / Andienungen (Anz.),,,,6409.0,6472.0,6327.0,7059.0,7329.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,entsorgte Sonderabfallmengen (T t),,,,2083.0,2302.0,2294.0,2228.0,2076.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,entsorgte Sonderabfallmengen (T t),davon Bausonderabfälle Berlin (T t),,,867.0,1116.0,1093.0,1003.0,866.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,entsorgte Sonderabfallmengen (T t),davon Bausonderabfälle Brb. (T t),,,514.0,416.0,425.0,467.0,467.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,entsorgte Sonderabfallmengen (T t),davon sonstige Sonderabfälle Berlin (Tt),,,143.0,157.0,164.0,167.0,166.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,entsorgte Sonderabfallmengen (T t),davon sonstige Sonderabfälle Brb. (T t),,,558.0,613.0,613.0,590.0,578.0
SBB Sonderabfallgesellschaft Brandenburg/Berlin mbH,Spezifische Daten,Begleitscheinaufkommen (Anzahl Entsorgungen in Tsd.),,,,184.0,195.0,201.0,199.0,193.0
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,,,,3563.17,3444.74,3255.03,3127.89,3037.01
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,3343.89,3235.73,3095.54,2986.33,2888.23
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,3335.12,3226.26,3084.49,2973.37,2873.68
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,7.17,8.04,9.48,11.39,13.36
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,216.2,206.12,157.12,139.42,147.87
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Eigenkapital,,,956.68,906.61,860.6,817.98,767.05
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,745.99,712.33,657.25,607.22,556.4
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.04,0.04,0.04,0.04,0.04
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Fremdkapital,,,2539.68,2485.45,2346.52,2261.68,2223.41
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,46.15,54.81,44.35,46.4,44.22
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,2493.53,2430.64,2302.17,2215.28,2179.18
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,2315.77,2280.52,2165.8,2087.18,2054.09
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamterträge,,,,428.41,406.66,367.9,354.31,342.0
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamterträge,Umsatzerlöse,,,397.72,367.43,348.63,339.79,317.81
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamterträge,Übrige Erträge,,,30.7,39.23,19.26,14.51,24.19
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamtaufwendungen,,,,382.59,374.17,325.28,303.5,291.14
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,42.9,39.52,37.28,36.05,33.92
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,78.17,86.57,71.2,68.48,65.02
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,42.24,41.22,41.23,42.19,39.01
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,219.28,206.85,175.57,156.78,153.19
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,EBITDA,,,,168.47,163.93,158.04,165.47,158.72
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,EBT,,,,49.39,36.49,45.98,55.22,55.18
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Jahresergebnis,,,,45.82,32.49,42.62,50.81,50.86
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,GuV-Daten,Gewinnabführung,,,,,,,,
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Beschäftigte,Beschäftigte,,,,664.0,652.0,642.0,622.0,602.0
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Beschäftigte,Beschäftigte,davon Auszubildende,,,28.0,32.0,33.0,38.0,38.0
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Zuführungen,,,,11.19,4.49,6.83,5.04,5.03
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,11.19,4.49,6.83,5.04,5.03
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Investitionen,,,,182.95,220.79,186.91,170.36,576.68
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Investitionsquote (%),,,,5.5,6.8,6.1,5.7,20.1
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,598.97,563.55,543.04,546.29,527.92
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Eigenkapitalquote (%),,,,26.8,26.3,26.4,26.2,25.3
STADT UND LAND Wohnbauten-Gesellschaft mit beschränkter Haftung,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,5.2,4.0,5.3,6.8,7.2
